Classifier|stop_words|min_df|max_df|use_tfid|binary|ngram_range|emoji|sentiment|Accuracy
MultinomialNB|None|1|1.0|False|False|(1, 1)|False|False|0.7397214854111406
MultinomialNB|None|0.05|0.5|False|False|(1, 1)|False|False|0.5160809018567639
MultinomialNB|None|0.05|0.7|False|False|(1, 1)|False|False|0.5160809018567639
MultinomialNB|None|0.1|0.8|False|False|(1, 1)|False|False|0.5056366047745358
MultinomialNB|None|1|1.0|True|False|(1, 1)|False|False|0.6163793103448276
MultinomialNB|None|1|1.0|True|True|(1, 1)|False|False|0.6153846153846154
MultinomialNB|english|1|1.0|False|False|(1, 1)|False|False|0.7302718832891246
MultinomialNB|english|0.05|0.5|False|False|(1, 1)|False|False|0.49187665782493367
MultinomialNB|english|0.05|0.7|False|False|(1, 1)|False|False|0.49187665782493367
MultinomialNB|english|1|1.0|True|False|(1, 1)|False|False|0.6452254641909815
MultinomialNB|english|1|1.0|True|True|(1, 1)|False|False|0.6450596816976127
MultinomialNB|None|1|1.0|False|False|(1, 2)|False|False|0.7299403183023873
MultinomialNB|None|0.05|0.5|False|False|(1, 2)|False|False|0.5159151193633952
MultinomialNB|None|0.05|0.7|False|False|(1, 2)|False|False|0.5159151193633952
MultinomialNB|None|0.1|0.8|False|False|(1, 2)|False|False|0.5056366047745358
MultinomialNB|None|1|1.0|True|False|(1, 2)|False|False|0.5792440318302388
MultinomialNB|None|1|1.0|True|True|(1, 2)|False|False|0.5770888594164456
MultinomialNB|english|1|1.0|False|False|(1, 2)|False|False|0.7102122015915119
MultinomialNB|english|0.05|0.5|False|False|(1, 2)|False|False|0.49187665782493367
MultinomialNB|english|0.05|0.7|False|False|(1, 2)|False|False|0.49187665782493367
MultinomialNB|english|1|1.0|True|False|(1, 2)|False|False|0.6067639257294429
MultinomialNB|english|1|1.0|True|True|(1, 2)|False|False|0.6024535809018567
LogisticRegression|None|1|1.0|False|False|(1, 1)|False|False|0.7882957559681698
LogisticRegression|None|0.05|0.5|False|False|(1, 1)|False|False|0.519893899204244
LogisticRegression|None|0.05|0.7|False|False|(1, 1)|False|False|0.519893899204244
LogisticRegression|None|0.1|0.8|False|False|(1, 1)|False|False|0.5087864721485411
LogisticRegression|None|1|1.0|True|False|(1, 1)|False|False|0.7758620689655172
LogisticRegression|None|1|1.0|True|True|(1, 1)|False|False|0.7826591511936339
LogisticRegression|english|1|1.0|False|False|(1, 1)|False|False|0.7634283819628647
LogisticRegression|english|0.05|0.5|False|False|(1, 1)|False|False|0.4946949602122016
LogisticRegression|english|0.05|0.7|False|False|(1, 1)|False|False|0.4946949602122016
LogisticRegression|english|1|1.0|True|False|(1, 1)|False|False|0.7508289124668435
LogisticRegression|english|1|1.0|True|True|(1, 1)|False|False|0.7622679045092838
LogisticRegression|None|1|1.0|False|False|(1, 2)|False|False|0.8012267904509284
LogisticRegression|None|0.05|0.5|False|False|(1, 2)|False|False|0.5207228116710876
LogisticRegression|None|0.05|0.7|False|False|(1, 2)|False|False|0.5207228116710876
LogisticRegression|None|0.1|0.8|False|False|(1, 2)|False|False|0.5087864721485411
LogisticRegression|None|1|1.0|True|False|(1, 2)|False|False|0.7770225464190982
LogisticRegression|None|1|1.0|True|True|(1, 2)|False|False|0.7811671087533156
LogisticRegression|english|1|1.0|False|False|(1, 2)|False|False|0.7692307692307693
LogisticRegression|english|0.05|0.5|False|False|(1, 2)|False|False|0.4946949602122016
LogisticRegression|english|0.05|0.7|False|False|(1, 2)|False|False|0.4946949602122016
LogisticRegression|english|1|1.0|True|False|(1, 2)|False|False|0.7571286472148541
LogisticRegression|english|1|1.0|True|True|(1, 2)|False|False|0.7612732095490716
SGD |None|1|1.0|False|False|(1, 1)|False|False|0.7917771883289124
SGD |None|0.05|0.5|False|False|(1, 1)|False|False|0.5155835543766578
SGD |None|0.05|0.7|False|False|(1, 1)|False|False|0.5130968169761273
SGD |None|0.1|0.8|False|False|(1, 1)|False|False|0.4975132625994695
SGD |None|1|1.0|True|False|(1, 1)|False|False|0.7775198938992043
SGD |None|1|1.0|True|True|(1, 1)|False|False|0.7816644562334217
SGD |english|1|1.0|False|False|(1, 1)|False|False|0.7693965517241379
SGD |english|0.05|0.5|False|False|(1, 1)|False|False|0.4951923076923077
SGD |english|0.05|0.7|False|False|(1, 1)|False|False|0.48209549071618035
SGD |english|1|1.0|True|False|(1, 1)|False|False|0.7612732095490716
SGD |english|1|1.0|True|True|(1, 1)|False|False|0.7647546419098143
SGD |None|1|1.0|False|False|(1, 2)|False|False|0.7977453580901857
SGD |None|0.05|0.5|False|False|(1, 2)|False|False|0.5145888594164456
SGD |None|0.05|0.7|False|False|(1, 2)|False|False|0.5104442970822282
SGD |None|0.1|0.8|False|False|(1, 2)|False|False|0.503315649867374
SGD |None|1|1.0|True|False|(1, 2)|False|False|0.7934350132625995
SGD |None|1|1.0|True|True|(1, 2)|False|False|0.7977453580901857
SGD |english|1|1.0|False|False|(1, 2)|False|False|0.7702254641909815
SGD |english|0.05|0.5|False|False|(1, 2)|False|False|0.49403183023872677
SGD |english|0.05|0.7|False|False|(1, 2)|False|False|0.4955238726790451
SGD |english|1|1.0|True|False|(1, 2)|False|False|0.7692307692307693
SGD |english|1|1.0|True|True|(1, 2)|False|False|0.7717175066312998
LinearSVC |None|1|1.0|False|False|(1, 1)|False|False|0.763262599469496
